clip_number,frame_index,gt_id,class_name,team_hint,foot_x_px,foot_y_px,hover_position_id,field_zone,scale_pair_id,scale_true_yards,notes
1,274,c1f274p1,,,,,hp-01,west-half,,,
2,1,c2f1p1,,,,,hp-01,west-half,,,
2,161,c2f161p1,,,,,hp-01,west-endzone,,,
4,172,c4f172p1,,,,,hp-02,east-half,,,
5,51,c5f51p1,,,,,hp-02,midfield,,,
5,101,c5f101p1,,,,,hp-02,east-half,,,
6,2,c6f2p1,,,,,hp-02,east-half,,,
6,164,c6f164p1,,,,,hp-02,midfield,,,
7,262,c7f262p1,,,,,hp-02,east-half,,,
8,1,c8f1p1,,,,,hp-01,west-half,,,
8,2,c8f2p1,,,,,hp-01,west-half,,,
8,3,c8f3p1,,,,,hp-01,west-half,,,
8,4,c8f4p1,,,,,hp-01,west-half,,,
8,5,c8f5p1,,,,,hp-01,west-half,,,
8,6,c8f6p1,,,,,hp-01,west-half,,,
8,7,c8f7p1,,,,,hp-01,west-half,,,
8,69,c8f69p1,,,,,hp-01,west-half,,,
8,111,c8f111p1,,,,,hp-01,west-endzone,,,
8,112,c8f112p1,,,,,hp-01,west-half,,,
8,113,c8f113p1,,,,,hp-01,west-half,,,
8,114,c8f114p1,,,,,hp-01,west-half,,,
8,115,c8f115p1,,,,,hp-01,west-half,,,
8,116,c8f116p1,,,,,hp-01,west-half,,,
9,197,c9f197p1,,,,,hp-01,west-endzone,,,
12,129,c12f129p1,,,,,hp-01,west-endzone,,,
13,66,c13f66p1,,,,,hp-02,east-half,,,
14,270,c14f270p1,,,,,hp-02,midfield,,,
14,294,c14f294p1,,,,,hp-02,east-half,,,
15,218,c15f218p1,,,,,hp-01,west-half,,,
16,1,c16f1p1,,,,,hp-01,west-half,,,
16,148,c16f148p1,,,,,hp-01,midfield,,,
16,242,c16f242p1,,,,,hp-01,west-endzone,,,
17,328,c17f328p1,,,,,hp-01,midfield,,,
19,463,c19f463p1,,,,,hp-01,midfield,,,
20,329,c20f329p1,,,,,hp-01,west-endzone,,,
21,46,c21f46p1,,,,,hp-02,east-half,,,
21,77,c21f77p1,,,,,hp-02,midfield,,,
22,125,c22f125p1,,,,,hp-02,east-half,,,
25,465,c25f465p1,,,,,hp-02,east-half,,,
27,44,c27f44p1,,,,,hp-01,west-endzone,,,
28,99,c28f99p1,,,,,hp-01,west-endzone,,,
29,345,c29f345p1,,,,,hp-01,west-endzone,,,
31,162,c31f162p1,,,,,hp-02,west-half,,,
37,299,c37f299p1,,,,,hp-01,west-endzone,,,
41,375,c41f375p1,,,,,hp-01,west-half,,,
42,340,c42f340p1,,,,,hp-01,midfield,,,
44,92,c44f92p1,,,,,hp-02,east-half,,,
46,1,c46f1p1,,,,,hp-02,midfield,,,
46,18,c46f18p1,,,,,hp-02,east-half,,,
49,381,c49f381p1,,,,,hp-02,east-half,,,
51,273,c51f273p1,,,,,hp-01,west-half,,,
52,51,c52f51p1,,,,,hp-01,west-half,,,
53,232,c53f232p1,,,,,hp-01,west-half,,,
54,13,c54f13p1,,,,,hp-01,west-endzone,,,
54,220,c54f220p1,,,,,hp-01,west-half,,,
55,190,c55f190p1,,,,,hp-01,west-half,,,
55,318,c55f318p1,,,,,hp-01,midfield,,,
56,177,c56f177p1,,,,,hp-01,west-endzone,,,
57,312,c57f312p1,,,,,hp-02,midfield,,,
61,216,c61f216p1,,,,,hp-02,midfield,,,
